number,value,datetime_start,datetime_complete,duration,params_lambda,params_window_size,state
155,0.18917795659947215,2026-03-31 16:53:51.125582,2026-03-31 16:53:52.550696,0 days 00:00:01.425114,0.0024661189191525143,294,COMPLETE
156,0.36311437706909044,2026-03-31 16:53:52.551097,2026-03-31 16:53:53.969522,0 days 00:00:01.418425,0.0017077218838925374,307,COMPLETE
157,0.0,2026-03-31 16:53:53.969930,2026-03-31 16:53:55.553888,0 days 00:00:01.583958,0.0014431871647943716,308,COMPLETE
158,0.2362705709761297,2026-03-31 16:53:55.554357,2026-03-31 16:53:56.848229,0 days 00:00:01.293872,0.0016399193598008613,194,COMPLETE
159,0.20628101445001118,2026-03-31 16:53:56.848675,2026-03-31 16:53:58.288847,0 days 00:00:01.440172,0.0011273220476251385,317,COMPLETE
160,0.0,2026-03-31 16:53:58.289272,2026-03-31 16:53:59.671889,0 days 00:00:01.382617,0.0051111263166127964,337,COMPLETE
161,0.14187430931672063,2026-03-31 16:53:59.672297,2026-03-31 16:54:01.246862,0 days 00:00:01.574565,0.001925841860905087,300,COMPLETE
162,0.0,2026-03-31 16:54:01.247309,2026-03-31 16:54:02.621949,0 days 00:00:01.374640,0.002243275655805802,307,COMPLETE
163,0.0,2026-03-31 16:54:02.622454,2026-03-31 16:54:04.225851,0 days 00:00:01.603397,0.0017274239478984048,290,COMPLETE
164,0.2936247642637469,2026-03-31 16:54:04.226254,2026-03-31 16:54:05.658690,0 days 00:00:01.432436,0.0013449064623603604,324,COMPLETE
165,0.0,2026-03-31 16:54:05.659108,2026-03-31 16:54:06.948330,0 days 00:00:01.289222,0.02910686467016649,199,COMPLETE
166,0.0,2026-03-31 16:54:06.948790,2026-03-31 16:54:08.663157,0 days 00:00:01.714367,0.0015085865260376656,284,COMPLETE
167,0.0,2026-03-31 16:54:08.663602,2026-03-31 16:54:10.056988,0 days 00:00:01.393386,0.002013953889737689,310,COMPLETE
168,0.0,2026-03-31 16:54:10.057430,2026-03-31 16:54:11.396902,0 days 00:00:01.339472,0.002937632295047399,300,COMPLETE
169,0.19629914358346195,2026-03-31 16:54:11.397374,2026-03-31 16:54:12.895092,0 days 00:00:01.497718,0.001812535192416453,277,COMPLETE
