number,value,state,params_lambda,params_n_lags,params_window_size,user_attrs_kappa,user_attrs_kappa_tstat,user_attrs_r2_stage1,user_attrs_r2_stage2
109,0.00014575005447758915,COMPLETE,0.002065693753229756,16,50,0.02392565242995918,0.5269554344186197,0.5078838540060917,0.00014575005447758915
110,0.0012155446315536,COMPLETE,0.002928349181013877,18,10,0.03775116459954438,1.5590080346614195,0.5507698959253446,0.0012155446315536
111,0.0007281975093456072,COMPLETE,0.005943587267926869,14,10,0.03804426294798495,1.2062913392659946,0.13548185929955692,0.0007281975093456072
112,0.0007371180515330922,COMPLETE,0.00036337643147998303,24,10,0.026414939703257014,1.197602540148158,0.8767195260343956,0.0007371180515330922
113,0.00014585565590807814,COMPLETE,0.005123804402816593,19,10,0.016719522065581013,0.5279824385769083,0.21999235347531346,0.00014585565590807814
114,0.00021251290207613405,COMPLETE,0.0032047148968881774,16,100,0.058074064553555356,0.6501889923108869,0.06519059398946958,0.00021251290207613405
115,0.001615390834853181,COMPLETE,0.0037334316414921053,19,110,0.20360228945415992,2.112337353629321,0.03210779931961652,0.001615390834853181
116,0.0003576172056953819,COMPLETE,0.0014829386079893577,19,10,0.019184966772260833,0.8292402328679953,0.7863225801788077,0.0003576172056953819
117,0.0012045793677478711,COMPLETE,0.00025753565321676733,20,10,0.032793249248575615,1.5433863676797583,0.8795022418596101,0.0012045793677478711
118,-1.4556967187218106e-08,COMPLETE,0.00186642254580441,25,130,4.620038194978423e-07,7.575936539870271e-06,0.2625950540990168,-1.4556967187218106e-08
119,0.001122188550204628,COMPLETE,0.00315086209616499,19,110,0.13667358055346165,1.6241978209499701,0.062128904935531325,0.001122188550204628
120,0.003935930207475846,COMPLETE,0.005744194559514083,21,120,0.6604381062780559,7.725418810794312,-0.0014321802756832656,0.003935930207475846
121,-1.0579858322756763e-08,COMPLETE,0.0032450390832966954,25,140,8.739594934472359e-07,6.088466814653379e-06,0.034731896414593115,-1.0579858322756763e-08
122,-1.7622414638651662e-10,COMPLETE,0.00733870137192671,22,140,0.5,,-0.0033275895347307494,-1.7622414638651662e-10
123,0.0015016162783908493,COMPLETE,0.004373571274895337,19,120,0.2923468984896614,2.286582157469581,0.010458648803725504,0.0015016162783908493
124,0.0018001118025229301,COMPLETE,0.007699027152738572,23,100,0.7450705447750935,6.994509721390988,-0.004467472705325447,0.0018001118025229301
125,4.6323320761931797e-05,COMPLETE,0.003704449336072326,21,140,0.05754970136643115,0.2997118307973431,0.017018673882275053,4.6323320761931797e-05
126,1.3637797940946328e-06,COMPLETE,0.0037507043756105913,19,130,0.009263999005209172,0.04948362519077537,0.019387123425754074,1.3637797940946328e-06
127,-2.4802866427364734e-09,COMPLETE,0.006393538320126458,19,140,0.5,,-0.0033242184846932845,-2.4802866427364734e-09
128,0.0009090604322463669,COMPLETE,0.006181828988809678,24,100,0.32644322690725286,1.877821325402131,-0.000383506480090813,0.0009090604322463669
129,-3.999414133204482e-10,COMPLETE,0.007184533352317599,25,90,3.194828491847159e-07,4.4584460495426213e-07,-0.0030080612015466004,-3.999414133204482e-10
130,-5.224864985109434e-11,COMPLETE,0.008898772407349336,22,80,9.4593027337702e-08,2.217594521077744e-08,-0.00646020030630622,-5.224864985109434e-11
131,0.0013841462414542205,COMPLETE,0.0064336128318314275,23,40,0.1428069271761566,1.8525931327566212,0.030221518987669446,0.0013841462414542205
132,0.0016125113726047635,COMPLETE,0.008978342731303017,22,40,0.2500211770019262,2.2867187312566224,-0.0033149573333686815,0.0016125113726047635
133,-5.871991781702945e-11,COMPLETE,0.009756483726426714,22,70,6.713679222562947e-07,7.380600001183319e-08,-0.007869937044393165,-5.871991781702945e-11
134,-6.64941350647652e-07,COMPLETE,0.00871051434158679,17,110,0.5,,-0.004305650771875815,-6.64941350647652e-07
135,0.0005934144313535228,COMPLETE,0.00967278604704969,21,10,0.0492778060204288,1.0998302672304148,-0.04259153107965185,0.0005934144313535228
136,0.0011680713643299478,COMPLETE,0.003911377614214885,23,10,0.04355210075289339,1.5344782227017595,0.39043048416956894,0.0011680713643299478
137,-1.979749697511579e-12,COMPLETE,0.009018365147497454,24,20,4.7330683716054526e-11,6.742317414972716e-10,0.0027447593323073594,-1.979749697511579e-12
138,-8.069110712938254e-09,COMPLETE,0.003745291910753945,22,20,9.944993753834496e-08,2.525222537305358e-06,0.3643810048286501,-8.069110712938254e-09
139,-6.149794007370701e-10,COMPLETE,0.005070611036440033,23,20,8.563242261659144e-09,1.865008554382369e-07,0.1775699187447011,-6.149794007370701e-10
140,-3.8060314899723835e-09,COMPLETE,1.6618383158689922e-05,7,350,3.4370969350280394e-08,1.926157529209651e-06,0.9976640384587053,-3.8060314899723835e-09
141,0.00011733301066185753,COMPLETE,0.003574361378623515,22,50,0.030864827589065225,0.4754518909690287,0.16473620953149626,0.00011733301066185753
