PERMNO	TICKER	COMNAM	PERMCO
12076	SIG	SIGNET JEWELERS LTD	9857
12077	DMED	D MEDICAL INDUSTRIES LTD	53489
12078	ELMD	ELECTROMED INC	53490
12079	GM	GENERAL MOTORS CORP	20799
12080	GMAN	GORDMANS STORES INC	53491
12081	MDMD	MEDIAMIND TECHNOLOGIES INC	53492
12082	MMYT	MAKEMYTRIP LTD	53493
12084	NXPI	N X P SEMICONDUCTORS N V	53494
12085	PATH	NUPATHE INC	53495
12088	PSTB	PARK STERLING BANK	53496
12089	RP	REALPAGE INC	53497
12090	TSRX	TRIUS THERAPEUTICS INC	53498
12093	COR	CORESITE REALTY CORP	53500
12097	CCSC	COUNTRY STYLE CKG RST CHN CO LTD	53501
12098	ECON	E G A EMERGING GLOBAL SHARES TR	53146
12101	ELT	ELSTER GROUP S E	53502
12103	FSD	FIRST TRUST HIGH INC LNG SHRT FD	53503
12104	HBP	HELIX BIOPHARMA CORP	53504
12105	ENZL	ISHARES TRUST	37493
12106	WSB	W S B HOLDINGS INC	9884
12109	EWZS	ISHARES TRUST	37493
12140	GR	GOODRICH CORP	20833
12146	CSBR	CHAMPIONS ONCOLOGY INC	10020
12149	CBRX	COLUMBIA LABORATORIES INC	9879
12149	JNP	JUNIPER PHARMACEUTICALS INC	9879
12166	FRBK	REPUBLIC FIRST BANCORP INC	9999
12169	DRL	DORAL FINANCIAL CORP	10053
12173	GNCMA	GENERAL COMMUNICATION INC	9914
12175	GNI	GREAT NORTHERN IRON ORE PPTYS	20846
12188	EAR	HEARUSA INC	9683
12189	HIFS	HINGHAM INSTITUTION FOR SVGS MA	10039
12190	TORM	T O R MINERALS INTL INC	10042
12209	LWAY	LIFEWAY FOODS INC	10059
12211	LNN	LINDSAY CORP	9971
12214	LOGC	LOGIC DEVICES INC	9998
12217	MEAS	MEASUREMENT SPECIALTIES INC	8268
12219	ECNS	ISHARES TRUST	37493
12226	MGPI	M G P INGREDIENTS INC	9977
12236	NOVN	NOVEN PHARMACEUTICALS INC	10000
12248	PWX	PROVIDENCE & WORCESTER RR CO	9898
12266	PPHM	PEREGRINE PHARMACEUTICALS INC	9899
12269	TKS	TOMKINS PLC	10004
12281	WAIN	WAINWRIGHT BANK & TRUST CO BOSTN	9974
12287	EPHE	ISHARES TRUST	37493
12288	CFD	NUVEEN DIVERSIFIED COMMODITY FD	53505
12289	CORP	PIMCO E T F TRUST	53171
12290	BABZ	PIMCO E T F TRUST	53171
12291	RNO	RHINO RESOURCE PARTNERS L P	53506
12292	GNR	SPDR INDEX SHARES FUNDS	43629
12293	SFUN	SOUFUN HOLDINGS LTD	53507
12294	VOOG	VANGUARD ADMIRAL FUNDS INC	53508
12295	VOOV	VANGUARD ADMIRAL FUNDS INC	53508
12296	VIOV	VANGUARD ADMIRAL FUNDS INC	53508
12297	VIOG	VANGUARD ADMIRAL FUNDS INC	53508
12301	VIOO	VANGUARD ADMIRAL FUNDS INC	53508
12302	IVOV	VANGUARD ADMIRAL FUNDS INC	53508
12303	IVOG	VANGUARD ADMIRAL FUNDS INC	53508
12304	IVOO	VANGUARD ADMIRAL FUNDS INC	53508
12305	VOO	VANGUARD INDEX FUNDS	41593
12306	CCX	WISDOMTREE TRUST	50852
12307	AMRS	AMYRIS INC	53510
12308	CHTR	CHARTER COMMUNICATIONS INC	17322
