"DATE","vwretx","sprtrn"
"2012-08-30",-0.007949,-0.007806
"2012-08-31",0.005873,0.005073
"2012-09-04",0.000581,-0.001166
"2012-09-05",-0.000789,-0.001068
"2012-09-06",0.01932,0.020436
"2012-09-07",0.005607,0.00405
"2012-09-10",-0.005726,-0.006148
"2012-09-11",0.003421,0.003135
"2012-09-12",0.00233,0.002093
"2012-09-13",0.015172,0.01631
"2012-09-14",0.006129,0.003959
"2012-09-17",-0.00458,-0.003125
"2012-09-18",-0.001811,-0.00128
"2012-09-19",0.001252,0.001185
"2012-09-20",-0.002063,-0.000541
"2012-09-21",0.000369,-7.5e-05
"2012-09-24",-0.003212,-0.002233
"2012-09-25",-0.010915,-0.010502
"2012-09-26",-0.005774,-0.005737
"2012-09-27",0.009956,0.009649
"2012-09-28",-0.004529,-0.004478
"2012-10-01",0.002708,0.002652
"2012-10-02",0.00114,0.000872
"2012-10-03",0.00235,0.003624
"2012-10-04",0.007662,0.007174
"2012-10-05",-0.000375,-0.000322
"2012-10-08",-0.003568,-0.003457
"2012-10-09",-0.009789,-0.009891
"2012-10-10",-0.005616,-0.006188
"2012-10-11",0.001584,0.000195
"2012-10-12",-0.003535,-0.002966
"2012-10-15",0.00723,0.008078
"2012-10-16",0.009939,0.01027
"2012-10-17",0.005004,0.004117
"2012-10-18",-0.002759,-0.002444
"2012-10-19",-0.015628,-0.016571
"2012-10-22",0.000163,0.00044
"2012-10-23",-0.013005,-0.014444
"2012-10-24",-0.002619,-0.003085
"2012-10-25",0.003285,0.002996
"2012-10-26",-0.001387,-0.000729
"2012-10-31",0.002185,0.000156
"2012-11-01",0.011104,0.010927
"2012-11-02",-0.009799,-0.009379
"2012-11-05",0.002058,0.002164
"2012-11-06",0.007713,0.007853
"2012-11-07",-0.021702,-0.023705
"2012-11-08",-0.011618,-0.012205
"2012-11-09",0.000906,0.001699
"2012-11-12",-0.000216,0.00013
"2012-11-13",-0.004437,-0.003985
"2012-11-14",-0.014991,-0.013852
"2012-11-15",-0.003096,-0.001594
"2012-11-16",0.006099,0.00484
"2012-11-19",0.019052,0.019862
"2012-11-20",0.000894,0.000663
"2012-11-21",0.003101,0.00232
"2012-11-23",0.012626,0.013026
"2012-11-26",-0.001687,-0.00203
"2012-11-27",-0.004503,-0.005227
"2012-11-28",0.007177,0.007856
"2012-11-29",0.004977,0.00427
