stock,window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2,return_variance,failed
90630,20,1,5.783055944698348e-07,0.9564402389622964,-0.7465090923999518,0.0006064033897674737,-0.00012117783370602098,0.02160170828452007,1.089237409564807,-0.0006479482156800937,-0.8705340342813558,1863,1866,,0.0010298303710101532,
90648,20,1,5.783055944698348e-07,0.955479897655647,-0.5980433980337021,7.136851841282876e-06,-0.00018631480394781796,0.0027486034222064405,0.11595787968770599,0.00040580403557822467,1.6905765522736267,1863,1866,,0.00010913856741246835,
90651,20,1,5.783055944698348e-07,0.9607137862118372,-0.5712330840768318,-1.0658638860405745e-08,-0.005223547904004144,2.610003648506631e-07,1.0719976085693158e-05,0.00035477338622484997,1.8275263007199556,1863,1866,,7.053709024279081e-05,True
90657,20,1,5.783055944698348e-07,0.9434421425737891,-0.5891112035974833,-2.488252270893554e-09,-0.0018906317385862792,6.148339722603818e-07,2.6557705529470024e-05,1.1739512636409615e-05,0.017314368761291766,1863,1866,,0.000853976969055963,True
90675,20,1,5.783055944698348e-07,0.9308594741351713,-0.5458012243045418,0.00013356976346989846,-0.0039715451738935315,0.012190621944063541,0.5046924266020819,0.00020629825257749282,0.8228329905605358,1863,1866,,0.00011778145055956203,
90680,20,1,5.783055944698348e-07,0.9513683265746766,-0.598780197557254,3.731687885910606e-05,-0.0008247070094307141,0.006059282317069045,0.26504281542657726,0.0003198807350576718,0.6887921607028612,1863,1866,,0.0004057107489531908,
90685,20,1,5.783055944698348e-07,0.9655158572586562,-0.5674132757954053,0.00017286528093551912,-0.0014930111048916395,0.013705333151552932,0.5750732704797076,0.00016867410301542316,0.9280077156144345,1863,1866,,6.088129893020857e-05,
90689,20,1,5.783055944698348e-07,0.9330645786384459,-0.6590992377637317,-1.7768009286101005e-12,-2.6941280612424734e-05,4.38395926560312e-11,1.9221318711324364e-09,0.0004126096247947815,1.0232930305926455,1863,1866,,0.00030006921241986726,True
90698,20,1,5.783055944698348e-07,0.9407348767158185,-0.538404635308662,1.556011331671492e-05,-0.00744592309526837,0.0040706844378913505,0.1708413150425737,0.000524863246126464,1.2192212028060085,1863,1866,,0.0003452999933262349,
90700,20,1,5.783055944698348e-07,0.93170701925151,-0.6494439962086491,-1.4892198585414462e-10,-0.0006501192725327787,2.285828533700858e-09,9.840464549582148e-08,-0.00042958498201698146,-0.5505066427600793,1863,1866,,0.0011543493861948082,True
